Sl No,Stock,Market Cap,Net Profit Ann  1Y Ago,Net Profit Ann  2Y ago,Net Profit Ann  3Y Ago,Net Profit Ann  4Y Ago,Net Profit Ann  5Y Ago,Total Rev  Ann  1Y Ago,Rev  Ann  2Y ago,Rev  Ann  3Y ago,Rev  Ann  4Y ago,Rev  Ann  5Y ago,ROCE Ann  1Y Ago %,OPM Ann  1Y ago %,Net Profit Ann ,Total Rev  Ann ,NSE Code,BSE Code,ISIN
99,Chambal Fertilisers,18271.75,1649.51,1275.8,1034.22,1565.98,1654.76,16861.31,18215.51,27940.57,16136.83,12756.36,23.14,14.73,1953.39,20920.51,CHAMBLFERT,500085,INE085A01013
100,Pine Labs,18241.34,-145.49,-341.9,-265.14,,,2327.09,1824.16,1690.44,,,-0.55,9.39,112.51,2847.15,PINELABS,544606,INE15B701018
1,Sundaram Finance,50125.64,1879.44,1436.02,1317.81,1173.34,1165.09,8562.98,7285.5,5544.42,5145.67,5316.75,14.02,79.63,2058.86,9873.12,SUNDARMFIN,590071,INE660A01013
2,Premier Energies,50007.3,937.13,231.36,-12.8,,,6652.09,3171.31,1463.21,,,34.91,26.77,1509.77,8025.91,PREMIERENE,544238,INE0BS701011
3,Ather Energy,49370.33,-812.3,-1059.7,-864.5,-344.1,,2305.2,1789.1,1801.8,413.8,,-75.66,-25.2,-517.17,3823.08,ATHERENERG,544397,INE0LEZ01016
4,Piramal Finance,48939.72,-6.65,-1975.28,-7401.36,540.15,,8461.94,6769.26,6669.15,6104.75,,23.22,52.84,1504.31,12031.6,PIRAMALFIN,544597,INE202B01038
5,KEI Industries,48722.85,696.41,580.74,477.35,376.02,273.31,9807.67,8153.1,6939.95,5741.15,4201.6,16.86,10.1,918.43,11906.32,KEI,517569,INE878B01027
6,Ipca Laboratories,47643.11,737.68,547.35,471.32,884.08,1140.01,9032.39,7829.81,6369.94,5896.36,5482.83,15.15,19.11,1141.12,9820.78,IPCALAB,524494,INE571A01038
7,Hindustan Copper,47625.93,465.12,295.31,295.46,373.83,110.22,2148.23,1771.73,1773.21,1872.18,1821.6,21.26,34.34,918.54,3149.67,HINDCOPPER,513599,INE531E01026
8,Rail Vikas Nigam,47469.65,1281.39,1574.3,1420.55,1182.69,922.41,20922.8,23074.8,21278.04,20181.94,15713.08,14.12,5.38,874.7,21187.35,RVNL,542649,INE415G01027
9,Bharat Dynamics,46700.06,549.65,612.72,352.17,499.92,257.77,3695.45,2731.1,2644.79,2928.61,2008.37,10.18,12.78,420.34,2865.56,BDL,541143,INE171Z01026
10,Aegis Logistics,46686.51,663.38,569.2,462.95,357.52,223.38,6972.15,7235.51,8814.2,4669.72,3880.33,11.66,15.75,898.15,8659.79,AEGISLOG,500003,INE208C01025
11,Godrej Industries,46576.4,981.38,59.97,974.78,653.73,334.57,21924.09,18096.98,17762.36,15064.67,9994.77,9.61,9.57,1240.53,25980.6,GODREJIND,500164,INE233A01035
12,Voltas,45678.63,841.37,252,135.01,504.09,525.14,15737.25,12734.47,9667.22,8123.64,7744.64,19.31,7.09,375.88,14482.65,VOLTAS,500575,INE226A01021
13,M&M Financial,45208.81,2261.87,1932.69,2072.4,1136.87,773.21,18530.46,15970.32,12832.4,11400.51,12170.5,16.38,62.77,2854.53,21086.73,M&MFIN,532720,INE774D01024
14,AIA Engineering,45153.08,1060.74,1135.57,1055.93,616.67,566.12,4619.07,5135.16,5143.31,3722.84,3053.69,19.55,24.88,1270.16,4893.91,AIAENG,532683,INE212H01026
15,Gujarat Fluorochemicals,45148.35,546.06,434.95,1328.81,787.19,-218.71,4853.18,4387.74,5856.96,4114.14,2851.58,10.63,22.64,578,5038,FLUOROCHEM,542812,INE09N301011
16,Page Industries,44994.83,729.14,569.19,571.25,536.53,340.58,4996.54,4601.63,4803.37,3907.44,2852.43,62.78,21.27,763.82,5310.67,PAGEIND,532827,INE761H01022
17,360 One Wam,44694.68,1015.3,804.21,657.93,577.74,369.19,3684.39,2924.73,2063.78,2077.83,1659.02,31.74,54.36,1216.17,4477.26,360ONE,542772,INE466L01038
18,Mphasis,44645.24,1702.14,1554.82,1637.92,1430.89,1216.8,14484.99,13496.32,13960.1,12121.89,9855.26,23.19,18.27,1862.6,16205.54,MPHASIS,526299,INE356A01018
19,Welspun Corp,44419.7,1908.14,1110.4,206.69,438.8,767.58,14167.33,17582.06,10078.08,7056.33,7509.39,16.9,11.77,1613.05,16905.39,WELCORP,532144,INE191B01025
20,Data Infra Trust,44120.85,1119.2,796.7,546.9,-568.1,-1088.5,13350.9,11244.6,9819.2,8259.5,7489.2,7.93,38.63,839.9,19623.7,,543225,INE0BWS23018
21,Supreme Industries,43962.74,960.88,1069.72,865.33,968.45,978.14,10504.09,10199.95,9231.36,7792.77,6361.33,19.31,13.63,953.98,11262.47,SUPREMEIND,509930,INE195A01028
22,Aditya Infotech,43618.83,351.37,115.17,108.31,96.93,,3122.93,2795.96,2295.56,1661.65,,21.01,7.92,367.96,4233.65,CPPLUS,544466,INE819V01029
23,Ajanta Pharma,43272.05,920.39,816.17,587.98,712.68,653.87,4742.6,4293.31,3841.28,3456.67,2915.67,30.1,26.56,1056,5624.93,AJANTPHARM,532331,INE031B01049
24,Authum Investment,42834.93,4241.41,4284.83,4304.02,,,4612.21,2611.2,542.01,,,27.66,88.78,1931.09,2653.88,AIIL,539177,INE206F01022
25,Aster DM Healthcare,42781.25,5377.83,129.28,424.91,525.99,147.74,4286.69,3723.75,12011.13,10303.94,8658.4,11.59,17.83,388.14,4768.82,ASTERDM,540975,INE914M01019
26,Anthem Biosciences,42417.04,451.26,367.31,385.18,,,1930.28,1483.07,1133.99,,,26.88,34.75,591.79,2280.12,ANTHEM,544449,INE0CZ201020
27,JK Cement,42076.45,861.12,790.83,426.33,687.12,709.72,12052.1,11701.06,9807.6,8133.69,6719.06,12.51,16.82,992.49,13916.84,JKCEMENT,532644,INE823G01014
28,GlaxoSmithKline,42038.1,930.24,594.13,616.72,1694.72,358.15,3895.14,3576.3,3352.38,3353.8,3036.18,57.03,30.23,1035.98,3967.03,GLAXO,500660,INE159A01016
29,Embassy Office Parks REIT,41987.9,1624.44,964.03,505.96,888.38,698.35,4181.3,3888.27,3563.67,3089.53,2478.85,3.39,59.62,338.54,4675.84,EMBASSY,542602,INE041025011
30,NLC,41966.56,2621.36,1854.09,1395.68,1092.57,1313.21,16889.45,13946.44,17383.22,12545.96,11798.42,9.92,28.66,3522.2,18466.89,NLCINDIA,513683,INE589A01014
31,Petronet LNG,41910,3972.68,3652.44,3325.82,3438.11,2939.23,51755,53337.79,60422.42,43466.3,26381.98,23.63,10.67,3912.53,44358.98,PETRONET,532522,INE347G01014
32,Poonawalla Fincorp,41863.31,-98.34,1682.75,683.97,375.12,-558.96,4222.84,3147.33,2008.28,2041.03,2352.48,16.73,33.43,541.81,6795.65,POONAWALLA,524000,INE511C01022
33,Sona BLW Precision ,41589.84,601.21,517.27,395.3,361.54,215.16,3681.45,3208.73,2687.18,2150.67,1568.64,14.15,26.26,640.17,4572.11,SONACOMS,543300,INE073K01018
34,Narayana Hrudayalaya,41587.42,790.16,789.26,606.25,341.93,-14.3,5575.01,5093.44,4590.21,3735.88,2610.52,17.95,22.89,805.6,7996.25,NH,539551,INE410P01011
35,Balkrishna Industries,41087.64,1654.96,1471.49,1057.4,1435.38,1177.53,10985.74,9818.09,10106.06,8733.04,5955.35,20.29,22.37,1243.1,11074.91,BALKRISIND,502355,INE787D01026
36,HUDCO,41056.97,2709.14,2116.69,1701.43,1716.41,1578.5,10348.38,7948.1,7086.18,6997.66,7277.73,52.29,100.09,4034.37,13327.13,HUDCO,540530,INE031A01017
37,Gland Pharma,40824.23,698.53,772.46,781.04,1211.66,996.96,5830.11,5834.96,3865.06,4624.65,3597.65,11.43,21.77,1027.32,6746.98,GLAND,543245,INE068V01023
38,3M,40469.87,476.07,536.27,416.14,266.18,149.3,4515.82,3994.23,3797.66,3113.02,2447.23,39.79,17.04,522.32,5138.5,3MINDIA,523395,INE470A01017
39,Indian Railway Catering,40236,1314.9,1111.08,1005.88,,,4903.86,4434.66,3661.9,,,43.19,31.6,1393.45,5475.16,IRCTC,542830,INE335Y01020
40,J B Chemicals,40202.29,659.58,552.63,409.84,385.36,447.96,3956.31,3521.45,3159.22,2463.47,2154.9,24.69,26.08,709.47,4207.94,JBCHEPHARM,506943,INE572A01036
41,Physicswallah,39863.99,-215.9,-1040.43,-81.45,,,3039.09,2015.35,772.54,,,-5.15,2.42,-22.49,4131.04,PWL,544609,INE0LP301011
42,PI Industries,39783.52,1660.2,1681.5,1229.5,843.8,738.3,8322,7873.5,6651,5400.9,4701.9,20.57,26.18,1320.8,7024.4,PIIND,523642,INE603J01030
43,KPR Mill,39281.26,815.11,805.35,814.1,841.84,515.26,6462.26,6126.94,6248.2,4909.7,3568.99,21.45,19.28,866.5,6784.29,KPRMILL,532889,INE930H01031
44,Navin Fluorine ,39273.1,288.58,270.5,375.18,263.07,257.52,2393.11,2120.86,2113.13,1492.58,1258.44,11.69,22.3,663.55,3379.19,NAVINFLUOR,532504,INE048G01026
45,Endurance Tech,38801.83,836.35,680.49,479.58,460.71,519.71,11677.78,10326.49,8849.47,7590.18,6577.73,17.51,13.28,951.71,14719.85,ENDURANCE,540153,INE913H01037
46,Patanjali Foods,38334.07,1300.71,,,,,34289.4,,,,,15.86,5.68,1814.47,40347.78,PATANJALI,500368,INE619A01035
47,ITC Hotels,38160.13,634.57,421.72,,,,3626.11,2236.78,,,,7.73,33.39,816.89,4331.34,ITCHOTELS,544325,INE379A01028
48,Container Corp,37639.16,1288.75,1260.59,1173.87,1055.12,505.14,9333.93,9023.75,8482.52,7899.81,6697.49,13.49,20.67,1241.8,9443.18,CONCOR,531344,INE111A01025
49,L&T Technology ,37306.4,1266.7,1303.7,1169.8,957,663.3,10880.1,9854.6,8221.6,6722.1,5603.4,27.01,17.39,1279.2,11217.1,LTTS,540115,INE010V01017
50,Delhivery,37246.74,162.11,-249.19,-1007.78,-1011,-415.74,9372.01,8594.23,7530.25,7038.43,3838.29,2.63,4.01,152.68,10866.96,DELHIVERY,543529,INE148O01028
51,Cochin Shipyard,37136.49,827.33,783.28,304.71,563.96,608.66,5209.02,4140.64,2571.57,3453.76,3009.72,19,16.85,716.74,5431.69,COCHINSHIP,540678,INE704P01025
52,Astral,36394.04,523.8,546.1,456.6,483.8,404.4,5873.7,5683.5,5185.2,4428.9,3201.4,19,16.1,536.6,6615.9,ASTRAL,532830,INE006I01046
53,Blue Star,36114.18,591.24,414.95,400.46,167.71,100.35,12042.65,9732.78,8008.19,6081.3,4325.94,24.82,7.27,527.68,12463.9,BLUESTARCO,500067,INE472A01039
54,Global Health,36036.89,481.44,478.19,326.08,196.2,28.8,3771.41,3349.78,2759.16,2205.82,1478.16,18.38,23.26,556.46,4508.86,MEDANTA,543654,INE474Q01031
55,United Breweries,35718.48,441.69,410.03,303.98,365.46,113.22,8950.99,8196.42,7549.35,5868.23,4293.34,14.49,9.39,413.17,9285.11,UBL,532478,INE686F01025
56,Exide Industries,35717,795.02,876.68,822.7,4366.93,809.9,17350.65,16859.68,15202.9,12851.29,15367.34,8.56,10.36,854.19,18096.21,EXIDEIND,500086,INE302A01020
57,Bagmane Prime Office REIT,35366.8,809.36,758.7,,,,2237.32,2002.52,,,,29.55,76.36,896.53,2390.88,BAGMANE,544758,INE2OVN25015
58,Kirloskar Oil Engines,35139.77,489.15,441.87,332.4,174.52,194.96,6395.71,5926.96,5051.99,4048.71,3322.59,15.61,18.62,574.32,7771.17,KIRLOSENG,533293,INE146L01010
59,Star Health ,35066.82,645.86,845.01,618.59,-1040.67,-1085.71,16112.98,14026.43,12101.86,10610.09,5050.64,12.21,6.12,556.98,17834.37,STARHEALTH,543412,INE575P01011
60,Nuvama Wealth,35045.53,986.18,625.32,305.09,857.39,-474.98,4169.31,3157.72,2230.39,1783.31,1369.93,57.04,53.16,1041.04,4649.65,NUVAMA,543988,INE531F01023
61,Honeywell Automation,35007.92,523.6,501.4,438.01,339.13,460.04,4371.7,4201,3575.84,3030.66,3126.75,17.17,13.37,525,4860.9,HONAUT,517174,INE671A01010
62,Bandhan Bank,34864.23,2745.3,2229.56,2194.64,125.79,2205.46,24914.83,21034.27,18373.25,16693.94,14633.27,9.55,29.66,1223.56,24423.14,BANDHANBNK,541153,INE545U01014
63,Anand Rathi Wealth,34536.59,299.83,224.97,37.74,50.8,44.61,980.65,751.97,468.7,423.78,279.25,54.39,40.81,395.91,1253.11,ANANDRATHI,543415,INE463V01026
64,Himadri Speciality ,34443.83,555.63,410.77,215.98,40.95,47.48,4664.32,4227.41,4199.82,2798.54,1693.5,21,18.31,751.34,4831.99,HSCL,500184,INE019C01026
65,Hexaware Technologies,34262.73,1176.4,997.6,,,,12049.3,10389.1,,,,26.56,15.19,1369.2,13818.7,HEXT,544362,INE093A01041
66,Dalmia Bharat,34242.05,683,826,1035,1144,1231,14233,15006,13678,11441,10704,5.31,16.91,1139,15026,DALBHARAT,542216,INE00R701025
67,Indian Renewable,34120.92,1698.34,1252.24,,,346.38,6755.69,4965.29,,,2657.74,46.86,92.83,1874,8338.89,IREDA,544026,INE202E01016
68,HFCL,34101.82,177.4,329.81,300.97,313.12,239,4122.28,4565.64,4790.49,4770.02,4459.09,8.61,10.89,311.74,5014.52,HFCL,500183,INE548A01028
69,Emcure Pharma,34036.2,681.33,498.18,532.02,662.2,,7963.26,6715.24,6031.72,5918.86,,20.8,18.51,924.36,9216.2,EMCURE,544210,INE168P01015
70,Tata Investment ,33974.74,312.09,384.96,251.87,214.24,153.97,306.22,385.95,277.72,254,163.26,0.76,86.94,433.68,403.46,TATAINVEST,501301,INE672A01026
71,Krishna Institute,33930.23,384.5,310.15,336.32,332.68,201.22,3067,2511.2,2223.55,1671.08,1340.1,13.01,25.53,241.4,3930.8,KIMS,543308,INE967H01025
72,Aditya Birla Sun Life AMC,33246.83,930.6,780.36,596.38,672.77,526.28,1985.82,1640.58,1353.71,1408.52,1205.84,32.15,49.8,975.07,2059.51,ABSLAMC,543374,INE404A01024
73,UCO Bank,32979.04,2444.99,1653.74,1862.34,929.76,167.03,29473.55,25119.87,20158.98,18082.15,18166.41,6.08,20.48,2767.86,29740.99,UCOBANK,532505,INE691A01018
74,Escorts Kubota,32708.59,1264.94,1049.11,636.78,736.47,871.46,10705.19,9248.21,8709.62,7456.45,7174.8,13.03,10.89,2394.09,12106.62,ESCORTS,500495,INE042A01014
75,Schneider Electric,32592.27,267.89,172.03,123.62,27.62,-1.01,2661.28,2215.98,1789.38,1540.24,1315.65,33.9,14.38,212.56,2908.61,SCHNEIDER,534139,INE839M01018
76,Godfrey Phillips,32467.61,1072.03,883.04,690.47,438.07,376.51,5831.63,4633.84,3730.55,2801.64,2643.93,23.01,20.19,1526.06,6595.9,GODFRYPHLP,500163,INE260B01028
77,Inventurus Knowledge,32302.09,486.06,370.49,305.23,232.97,165.38,2702.99,1857.94,1060.16,784.46,568.77,27.5,28.48,721.55,3210.98,IKS,544309,INE115Q01022
78,National Highways Infra,32151.72,294.2,256.9,68.36,-0.68,,974.63,700.88,149.75,0,,1.95,78.18,325.01,2415.58,NHIT,543385,INE0H7R23014
79,Aegis Vopak Terminals,31454.77,127.23,86.54,-0.08,-1.09,,647.31,570.12,355.99,0,,6.14,70.71,310.47,960.54,AEGISVOPAK,544407,INE0INX01018
80,Angel One,31233.21,1172.08,1125.53,889.95,624.8,296.86,5247.67,4279.79,3021.12,2305.07,1298.98,32.79,37.75,915.1,5152.23,ANGELONE,543235,INE732I01021
81,Tata Technologies,30859.94,676.95,679.37,624.04,436.99,239.17,5292.58,5232.75,4501.93,3578.38,2425.74,23.53,17.65,546.59,5680.12,TATATECH,544028,INE142M01025
82,Wockhardt,30743.52,-47,-463,-559,-244,686.06,3074,2881,2773,3250,2840.57,3.9,12.78,213,3484,WOCKPHARMA,532300,INE049B01025
83,Crisil,30714.6,684.07,658.44,564.39,465.81,354.73,3349.42,3233.16,2891.19,2377.71,2064.98,32.64,27.19,766.01,3755.55,CRISIL,500092,INE007A01025
84,LIC Housing Finance,30355.23,5442.23,4759.56,2890.77,2285.65,2740.72,28110.7,27277.8,22728.21,20005.31,19880.22,71.54,94.28,5603.67,28843.49,LICHSGFIN,500253,INE115A01026
85,Garden Reach Shipbuilders,30152.38,527.4,357.27,228.12,189.53,153.47,5410.53,3892.26,2762.98,1918.17,1328.43,32.36,7.79,747.93,7276.54,GRSE,542011,INE382Z01011
86,Central Depository ,30064.65,526.64,419.11,275.94,311.18,200.34,1199.28,907.3,620.94,605.9,400.63,37.51,52.05,456.13,1238.5,CDSL,,INE736A01011
87,Cholamandalam Fin,30038.77,2173.66,1772.52,1290.23,1023.07,824.64,33459.92,26086.76,18376.03,14734.98,13904.9,55.29,56.35,2441.29,39575.77,CHOLAHLDNG,504973,INE149A01033
88,Mindspace REIT,30016.91,476.28,525,283.6,423.8,307.5,2675.63,2476.9,2304.1,1769.6,1156.5,6.39,72.99,651.86,3293.09,MINDSPACE,543217,INE0CCU25019
89,NIACL,29664,1036.63,1116.48,1048,194.57,1640.47,43634.01,43690.98,41072.51,35915.52,33095.49,2.43,2.37,1412.26,50649.75,NIACL,540769,INE470Y01017
90,Central Bank,29598.08,3934.21,2667.68,1678.78,1075.79,-1000.11,39667.95,35561.98,29741.59,25870.83,25991.84,5.93,20.61,4523.79,42583.14,CENTRALBK,532885,INE483A01010
91,Karur Vysya Bank,29444.04,1941.64,1604.81,1106.09,673.27,359.39,11507.59,9862.63,7675.49,6356.73,6527.07,7.49,27.91,2510.33,13158.67,KARURVYSYA,590003,INE036D01028
92,Cupid,29391.59,40.89,39.85,,,,203.18,178.3,,,,16.23,20.54,108.23,391.4,CUPID,530843,INE509F01029
93,Acutaas Chemicals,29236.99,158.71,42.77,83.29,71.95,54,1023.8,724.97,621.05,522.9,341.99,16.5,22.67,356.26,1380.95,ACUTAAS,543349,INE00FF01025
94,Dr. Lal Pathlabs,29138.8,487.14,357.74,238.85,344.83,291.62,2554.82,2295.81,2058.6,2139.95,1632.6,27.95,27.23,504.78,2864.18,LALPATHLAB,539524,INE600L01024
95,Shyam Metalics,28905.5,908.1,1034.79,857.6,1724.54,843.36,15368.13,13354.2,12722.19,10453.97,6320.79,11.82,12.14,1070.24,18755.82,SHYAMMETL,543299,INE810G01011
96,PNB Housing Finance,28782.15,1936.14,1508.01,1046,836.48,929.9,7691.63,7057.09,6529.66,6200.73,7624.08,41.1,91.88,2291.24,8505.04,PNBHOUSING,540173,INE572E01012
97,Metro Brands,28684.77,350.61,412.51,361.45,211.59,68.2,2600.38,2427.52,2181.51,1401.57,878.54,21.2,29.13,411.17,2967.85,METROBRAND,543426,INE317I01021
98,Procter & Gamble Hygiene,28646.57,636.59,678.14,575.75,651.79,433.08,3411.76,3958.48,3925.24,3613.52,3046.1,102.66,25.53,856.5,4332.89,PGHH,500459,INE179A01014
99,TVS Holdings,28399.8,1164.18,800.39,649.65,440.74,323.68,45032.85,40282.02,33690.33,25625.15,20361.68,47.9,15.36,1695.69,58224.5,TVSHLTD,520056,INE105A01035
100,Jubilant Foodworks,28373.34,210.76,399.34,353.2,420.39,231.67,8217.07,5695.97,5208.66,4437.48,3384.95,13.07,19.13,428.48,9586.64,JUBLFOOD,533155,INE797F01020
