Sl No,Stock,Market Cap,Net Profit Ann  1Y Ago,Net Profit Ann  2Y ago,Net Profit Ann  3Y Ago,Net Profit Ann  4Y Ago,Net Profit Ann  5Y Ago,Total Rev  Ann  1Y Ago,Rev  Ann  2Y ago,Rev  Ann  3Y ago,Rev  Ann  4Y ago,Rev  Ann  5Y ago,ROCE Ann  1Y Ago %,OPM Ann  1Y ago %,Net Profit Ann ,Total Rev  Ann ,NSE Code,BSE Code,ISIN
67,Coforge,68041.58,812.1,808,693.8,661.7,455.6,12215.4,9240.4,8076.5,6483.8,4695.4,14.73,13.87,1555.7,16475.9,COFORGE,532541,INE591G01025
68,SAIL,67996.71,2371.82,3066.67,2176.53,12243.47,4148.13,103354.09,106445.29,105398.08,104335.39,69974.28,6.5,10.3,3372.8,111705.02,SAIL,500113,INE114A01011
69,Alkem Laboratories,67847.16,2165.48,1795.77,984.17,1645.62,1585.02,13458.26,12978.42,11815.34,10796.84,9098.22,19.29,18.67,2301.8,15295.62,ALKEM,539523,INE540L01014
70,UNO Minda,66911.12,942.95,880.31,653.55,355.8,206.63,16803.9,14064.65,11285.38,8375.94,6420.77,16.76,11.15,1197.13,19692.02,UNOMINDA,532539,INE405E01023
71,National Aluminium ,66486.07,5267.94,1988.46,1434.66,2951.41,1299.41,17144.64,13399.86,14490.49,14478.23,9102.39,37.11,44.12,5797.01,18508.88,NATIONALUM,532234,INE139A01034
72,Bank of India,66300.5,9548.28,6564.46,3837.96,3492.57,2082.75,80412.44,67306.47,55142.86,46291.46,48350,6.17,20.65,10306.3,85649.56,BANKINDIA,532149,INE084A01016
73,Indian Overseas Bank,65125.79,3395.5,2665.66,2103.99,1709.27,758.35,33750.31,29730.97,23523.42,21641.17,22461.2,6.73,25.92,5418.47,37742.58,IOB,532388,INE565A01014
74,Glenmark Pharma,64923.12,1047.1,-1501.67,297.24,941.71,970.04,13435.46,12653.09,13306.9,12471.58,10994.14,19.62,17.5,1361.85,17443.13,GLENMARK,532296,INE935A01035
75,Schaeffler,64389.31,938.86,899.02,,,,8350.68,7375.46,,,,23.76,17.31,1150.35,9834.13,SCHAEFFLER,505790,INE513A01022
76,General Insurance,64289.99,7431.85,6685.86,6907.31,2386.28,1991.59,49941.19,46556.85,47750.46,49739.32,48594.37,11,18.95,9662.38,54376.91,GICRE,540755,INE481Y01014
77,Godrej Properties,63320.72,1399.89,725.27,571.39,352.37,-189.43,6967.05,4334.22,3039,2585.69,1333.09,9.28,0.64,1850.2,8410.88,GODREJPROP,533150,INE484J01027
78,HDB Financial Services,62170.3,2175.92,2460.84,1959.35,1011.4,391.47,16300.28,14171.12,12402.88,11306.29,10944.78,55.24,58.36,2543.83,18429.67,HDBFS,544429,INE756I01012
79,Bank of Maharashtra,61740.11,5541.78,4071.78,2605,1153.43,571.46,28402.61,23493.44,18179.53,15672.17,14495.16,6.28,32.82,7016.86,32823.72,MAHABANK,532525,INE457A01014
80,SBI Cards and Payment,61279.22,1916.41,2407.88,2258.47,1616.14,984.52,18637.15,17483.5,14285.67,11301.52,9713.58,36.85,28.66,2166.71,20707.62,SBICARD,543066,INE018E01016
81,Coromandel,61260.16,2066.46,1642.19,2012.94,1528.46,1329.15,24443.96,22289.75,29799.04,19255.12,14257.01,22.59,10.75,1956.15,31827.45,COROMANDEL,506395,INE169A01031
82,Linde,60146.68,454.84,434.09,538.06,507.22,151.1,2553.22,2845.68,3239.49,2166.62,1503.76,15.04,29.97,548.96,2548.88,LINDEINDIA,523457,INE473A01011
83,Jindal Stainless,59927.06,2505.2,2713.21,2114.5,1881.26,419.23,39603.06,38731.59,35823.32,21279.22,12229.36,17.46,11.78,3193.45,43306.14,JSL,532508,INE220G01021
84,Abbott,58361.2,1414.44,1201.22,949.41,798.7,690.69,6684.73,6097.18,5502.88,4996.48,4390.92,42.09,25.35,1552.02,7217.19,ABBOTINDIA,500488,INE358A01014
85,Motilal Oswal ,58218.55,2501.64,2441.06,931.69,1309.78,1245.45,8417.22,7130.52,4197.12,4319.83,3631.04,20.38,54,1869.31,9416.42,MOTILALOFS,532892,INE338I01027
86,Berger Paints,57385.34,1180.4,1167.74,859.42,832.82,719.75,11639.49,11262.6,10619.41,8826.37,6869.08,23.64,15.95,1126.87,11986.95,BERGEPAINT,509480,INE463A01038
87,Tube Investments,57189.75,673.71,1200.69,955.58,768.83,286.32,19835.71,17142.04,15107.98,12633.88,6194.72,16.1,9.32,636.84,23234.64,TIINDIA,540762,INE974X01010
88,Apar Industries,56838.46,821.3,825.11,637.72,256.73,160.5,18680.61,16239.41,14389.62,9352.48,6410.28,30.72,8.28,976.93,22966.89,APARINDS,532259,INE372A01015
89,Kalyan Jewellers,56377.29,714.8,597.35,433.1,224.21,-6.3,25189.67,18621.99,14109.34,10856.23,8618.67,20.88,6.02,1350.4,35950.88,KALYANKJIL,543278,INE303R01014
